,Feature1,Feature2,Correlation_x,Correlation_y,_merge
562,Ne_rho_z14,Ne_rho_z40,True,,left_only
563,Ne_rho_z14,Ne_rho_z41,True,,left_only
564,Ne_rho_z14,Ne_rho_z42,True,,left_only
565,Ne_rho_z14,Ne_rho_z43,True,,left_only
566,Ne_rho_z14,Ne_rho_z44,True,,left_only
567,Ne_rho_z14,Ne_rho_z45,True,,left_only
568,Ne_rho_z14,Ne_rho_z46,True,,left_only
569,Ne_rho_z14,Ne_rho_z47,True,,left_only
570,Ne_rho_z14,Ne_rho_z48,True,,left_only
571,Ne_rho_z14,Ne_rho_z49,True,,left_only
572,Ne_rho_z14,Ne_rho_z50,True,,left_only
573,Ne_rho_z14,Ne_rho_z51,True,,left_only
574,Ne_rho_z14,Ne_rho_z52,True,,left_only
575,Ne_rho_z14,Ne_rho_z53,True,,left_only
576,Ne_rho_z14,Ne_rho_z54,True,,left_only
577,Ne_rho_z14,Ne_rho_z55,True,,left_only
578,Ne_rho_z14,Ne_rho_z56,True,,left_only
579,Ne_rho_z14,Ne_rho_z57,True,,left_only
580,Ne_rho_z14,Ne_rho_z58,True,,left_only
581,Ne_rho_z14,Ne_rho_z59,True,,left_only
583,Ne_rho_z14,Ne_rho_z60,True,,left_only
584,Ne_rho_z14,Ne_rho_z61,True,,left_only
585,Ne_rho_z14,Ne_rho_z62,True,,left_only
586,Ne_rho_z14,Ne_rho_z63,True,,left_only
587,Ne_rho_z14,Ne_rho_z64,True,,left_only
588,Ne_rho_z14,Ne_rho_z65,True,,left_only
589,Ne_rho_z14,Ne_rho_z66,True,,left_only
590,Ne_rho_z14,Ne_rho_z67,True,,left_only
594,Ne_rho_z14,Te_rho_z14,True,,left_only
595,Ne_rho_z14,Te_rho_z15,True,,left_only
596,Ne_rho_z14,Te_rho_z22,True,,left_only
597,Ne_rho_z14,Te_rho_z23,True,,left_only
598,Ne_rho_z14,Te_rho_z24,True,,left_only
599,Ne_rho_z14,Te_rho_z25,True,,left_only
600,Ne_rho_z14,Te_rho_z26,True,,left_only
601,Ne_rho_z14,Te_rho_z27,True,,left_only
602,Ne_rho_z14,Te_rho_z28,True,,left_only
603,Ne_rho_z14,Te_rho_z29,True,,left_only
604,Ne_rho_z14,Te_rho_z30,True,,left_only
605,Ne_rho_z15,Ne_rho_z1,True,,left_only
615,Ne_rho_z15,Ne_rho_z20,True,,left_only
616,Ne_rho_z15,Ne_rho_z21,True,,left_only
617,Ne_rho_z15,Ne_rho_z22,True,,left_only
618,Ne_rho_z15,Ne_rho_z23,True,,left_only
619,Ne_rho_z15,Ne_rho_z24,True,,left_only
620,Ne_rho_z15,Ne_rho_z25,True,,left_only
621,Ne_rho_z15,Ne_rho_z26,True,,left_only
622,Ne_rho_z15,Ne_rho_z27,True,,left_only
623,Ne_rho_z15,Ne_rho_z28,True,,left_only
624,Ne_rho_z15,Ne_rho_z29,True,,left_only
625,Ne_rho_z15,Ne_rho_z30,True,,left_only
626,Ne_rho_z15,Ne_rho_z58,True,,left_only
627,Ne_rho_z15,Ne_rho_z59,True,,left_only
628,Ne_rho_z15,Ne_rho_z60,True,,left_only
629,Ne_rho_z15,Ne_rho_z61,True,,left_only
630,Ne_rho_z15,Ne_rho_z62,True,,left_only
631,Ne_rho_z15,Ne_rho_z63,True,,left_only
632,Ne_rho_z15,Ne_rho_z64,True,,left_only
633,Ne_rho_z15,Ne_rho_z65,True,,left_only
634,Ne_rho_z15,Ne_rho_z66,True,,left_only
635,Ne_rho_z15,Ne_rho_z67,True,,left_only
648,Ne_rho_z16,Ne_rho_z20,True,,left_only
649,Ne_rho_z16,Ne_rho_z21,True,,left_only
650,Ne_rho_z16,Ne_rho_z22,True,,left_only
651,Ne_rho_z16,Ne_rho_z23,True,,left_only
652,Ne_rho_z16,Ne_rho_z24,True,,left_only
653,Ne_rho_z16,Ne_rho_z25,True,,left_only
654,Ne_rho_z16,Ne_rho_z26,True,,left_only
655,Ne_rho_z16,Ne_rho_z27,True,,left_only
656,Ne_rho_z16,Ne_rho_z28,True,,left_only
657,Ne_rho_z16,Ne_rho_z29,True,,left_only
658,Ne_rho_z16,Ne_rho_z30,True,,left_only
659,Ne_rho_z16,Ne_rho_z31,True,,left_only
660,Ne_rho_z16,Ne_rho_z32,True,,left_only
661,Ne_rho_z16,Ne_rho_z33,True,,left_only
662,Ne_rho_z16,Ne_rho_z34,True,,left_only
663,Ne_rho_z16,Ne_rho_z35,True,,left_only
664,Ne_rho_z16,Ne_rho_z36,True,,left_only
665,Ne_rho_z16,Ne_rho_z37,True,,left_only
666,Ne_rho_z16,Ne_rho_z38,True,,left_only
667,Ne_rho_z16,Ne_rho_z39,True,,left_only
668,Ne_rho_z16,Ne_rho_z40,True,,left_only
669,Ne_rho_z16,Ne_rho_z41,True,,left_only
670,Ne_rho_z16,Ne_rho_z42,True,,left_only
671,Ne_rho_z16,Ne_rho_z43,True,,left_only
672,Ne_rho_z16,Ne_rho_z44,True,,left_only
673,Ne_rho_z16,Ne_rho_z45,True,,left_only
674,Ne_rho_z16,Ne_rho_z46,True,,left_only
675,Ne_rho_z16,Ne_rho_z47,True,,left_only
676,Ne_rho_z16,Ne_rho_z48,True,,left_only
677,Ne_rho_z16,Ne_rho_z49,True,,left_only
678,Ne_rho_z16,Ne_rho_z50,True,,left_only
679,Ne_rho_z16,Ne_rho_z51,True,,left_only
680,Ne_rho_z16,Ne_rho_z52,True,,left_only
681,Ne_rho_z16,Ne_rho_z53,True,,left_only
682,Ne_rho_z16,Ne_rho_z54,True,,left_only
683,Ne_rho_z16,Ne_rho_z55,True,,left_only
684,Ne_rho_z16,Ne_rho_z56,True,,left_only
685,Ne_rho_z16,Ne_rho_z57,True,,left_only
686,Ne_rho_z16,Ne_rho_z58,True,,left_only
687,Ne_rho_z16,Ne_rho_z59,True,,left_only
688,Ne_rho_z16,Ne_rho_z60,True,,left_only
689,Ne_rho_z16,Ne_rho_z61,True,,left_only
690,Ne_rho_z16,Ne_rho_z62,True,,left_only
691,Ne_rho_z16,Ne_rho_z63,True,,left_only
692,Ne_rho_z16,Ne_rho_z64,True,,left_only
693,Ne_rho_z16,Ne_rho_z65,True,,left_only
694,Ne_rho_z16,Ne_rho_z66,True,,left_only
695,Ne_rho_z16,Ne_rho_z67,True,,left_only
709,Ne_rho_z17,Ne_rho_z22,True,,left_only
710,Ne_rho_z17,Ne_rho_z23,True,,left_only
711,Ne_rho_z17,Ne_rho_z24,True,,left_only
712,Ne_rho_z17,Ne_rho_z25,True,,left_only
713,Ne_rho_z17,Ne_rho_z26,True,,left_only
714,Ne_rho_z17,Ne_rho_z27,True,,left_only
715,Ne_rho_z17,Ne_rho_z28,True,,left_only
716,Ne_rho_z17,Ne_rho_z29,True,,left_only
717,Ne_rho_z17,Ne_rho_z30,True,,left_only
718,Ne_rho_z17,Ne_rho_z31,True,,left_only
719,Ne_rho_z17,Ne_rho_z32,True,,left_only
720,Ne_rho_z17,Ne_rho_z33,True,,left_only
721,Ne_rho_z17,Ne_rho_z34,True,,left_only
722,Ne_rho_z17,Ne_rho_z35,True,,left_only
723,Ne_rho_z17,Ne_rho_z36,True,,left_only
724,Ne_rho_z17,Ne_rho_z37,True,,left_only
725,Ne_rho_z17,Ne_rho_z38,True,,left_only
726,Ne_rho_z17,Ne_rho_z39,True,,left_only
727,Ne_rho_z17,Ne_rho_z40,True,,left_only
728,Ne_rho_z17,Ne_rho_z41,True,,left_only
729,Ne_rho_z17,Ne_rho_z42,True,,left_only
730,Ne_rho_z17,Ne_rho_z43,True,,left_only
731,Ne_rho_z17,Ne_rho_z44,True,,left_only
732,Ne_rho_z17,Ne_rho_z45,True,,left_only
733,Ne_rho_z17,Ne_rho_z46,True,,left_only
734,Ne_rho_z17,Ne_rho_z47,True,,left_only
735,Ne_rho_z17,Ne_rho_z48,True,,left_only
736,Ne_rho_z17,Ne_rho_z49,True,,left_only
737,Ne_rho_z17,Ne_rho_z50,True,,left_only
738,Ne_rho_z17,Ne_rho_z51,True,,left_only
739,Ne_rho_z17,Ne_rho_z52,True,,left_only
740,Ne_rho_z17,Ne_rho_z53,True,,left_only
741,Ne_rho_z17,Ne_rho_z54,True,,left_only
742,Ne_rho_z17,Ne_rho_z55,True,,left_only
743,Ne_rho_z17,Ne_rho_z56,True,,left_only
744,Ne_rho_z17,Ne_rho_z57,True,,left_only
745,Ne_rho_z17,Ne_rho_z58,True,,left_only
746,Ne_rho_z17,Ne_rho_z59,True,,left_only
747,Ne_rho_z17,Ne_rho_z60,True,,left_only
748,Ne_rho_z17,Ne_rho_z61,True,,left_only
749,Ne_rho_z17,Ne_rho_z62,True,,left_only
750,Ne_rho_z17,Ne_rho_z63,True,,left_only
751,Ne_rho_z17,Ne_rho_z64,True,,left_only
752,Ne_rho_z17,Ne_rho_z65,True,,left_only
753,Ne_rho_z17,Ne_rho_z66,True,,left_only
754,Ne_rho_z17,Ne_rho_z67,True,,left_only
756,Ne_rho_z17,Te_rho_z15,True,,left_only
757,Ne_rho_z17,Te_rho_z16,True,,left_only
758,Ne_rho_z17,Te_rho_z17,True,,left_only
759,Ne_rho_z17,Te_rho_z18,True,,left_only
760,Ne_rho_z17,Te_rho_z19,True,,left_only
761,Ne_rho_z17,Te_rho_z20,True,,left_only
762,Ne_rho_z17,Te_rho_z21,True,,left_only
763,Ne_rho_z17,Te_rho_z22,True,,left_only
764,Ne_rho_z17,Te_rho_z23,True,,left_only
765,Ne_rho_z17,Te_rho_z24,True,,left_only
766,Ne_rho_z17,Te_rho_z25,True,,left_only
767,Ne_rho_z17,Te_rho_z26,True,,left_only
768,Ne_rho_z17,Te_rho_z27,True,,left_only
769,Ne_rho_z17,Te_rho_z28,True,,left_only
770,Ne_rho_z17,Te_rho_z29,True,,left_only
771,Ne_rho_z17,Te_rho_z30,True,,left_only
783,Ne_rho_z18,Ne_rho_z23,True,,left_only
784,Ne_rho_z18,Ne_rho_z24,True,,left_only
785,Ne_rho_z18,Ne_rho_z25,True,,left_only
786,Ne_rho_z18,Ne_rho_z26,True,,left_only
787,Ne_rho_z18,Ne_rho_z27,True,,left_only
788,Ne_rho_z18,Ne_rho_z28,True,,left_only
789,Ne_rho_z18,Ne_rho_z29,True,,left_only
790,Ne_rho_z18,Ne_rho_z30,True,,left_only
791,Ne_rho_z18,Ne_rho_z31,True,,left_only
792,Ne_rho_z18,Ne_rho_z32,True,,left_only
793,Ne_rho_z18,Ne_rho_z33,True,,left_only
794,Ne_rho_z18,Ne_rho_z34,True,,left_only
795,Ne_rho_z18,Ne_rho_z35,True,,left_only
796,Ne_rho_z18,Ne_rho_z36,True,,left_only
797,Ne_rho_z18,Ne_rho_z37,True,,left_only
798,Ne_rho_z18,Ne_rho_z38,True,,left_only
799,Ne_rho_z18,Ne_rho_z39,True,,left_only
800,Ne_rho_z18,Ne_rho_z40,True,,left_only
801,Ne_rho_z18,Ne_rho_z41,True,,left_only
802,Ne_rho_z18,Ne_rho_z42,True,,left_only
803,Ne_rho_z18,Ne_rho_z43,True,,left_only
804,Ne_rho_z18,Ne_rho_z44,True,,left_only
805,Ne_rho_z18,Ne_rho_z45,True,,left_only
806,Ne_rho_z18,Ne_rho_z46,True,,left_only
807,Ne_rho_z18,Ne_rho_z47,True,,left_only
808,Ne_rho_z18,Ne_rho_z48,True,,left_only
809,Ne_rho_z18,Ne_rho_z49,True,,left_only
810,Ne_rho_z18,Ne_rho_z50,True,,left_only
811,Ne_rho_z18,Ne_rho_z51,True,,left_only
812,Ne_rho_z18,Ne_rho_z52,True,,left_only
813,Ne_rho_z18,Ne_rho_z53,True,,left_only
814,Ne_rho_z18,Ne_rho_z54,True,,left_only
815,Ne_rho_z18,Ne_rho_z55,True,,left_only
816,Ne_rho_z18,Ne_rho_z56,True,,left_only
817,Ne_rho_z18,Ne_rho_z57,True,,left_only
818,Ne_rho_z18,Ne_rho_z58,True,,left_only
819,Ne_rho_z18,Ne_rho_z59,True,,left_only
820,Ne_rho_z18,Ne_rho_z60,True,,left_only
821,Ne_rho_z18,Ne_rho_z61,True,,left_only
822,Ne_rho_z18,Ne_rho_z62,True,,left_only
823,Ne_rho_z18,Ne_rho_z63,True,,left_only
824,Ne_rho_z18,Ne_rho_z64,True,,left_only
825,Ne_rho_z18,Ne_rho_z65,True,,left_only
826,Ne_rho_z18,Ne_rho_z66,True,,left_only
827,Ne_rho_z18,Ne_rho_z67,True,,left_only
828,Ne_rho_z18,Te_rho_z15,True,,left_only
829,Ne_rho_z18,Te_rho_z16,True,,left_only
830,Ne_rho_z18,Te_rho_z17,True,,left_only
831,Ne_rho_z18,Te_rho_z18,True,,left_only
832,Ne_rho_z18,Te_rho_z19,True,,left_only
833,Ne_rho_z18,Te_rho_z20,True,,left_only
834,Ne_rho_z18,Te_rho_z21,True,,left_only
835,Ne_rho_z18,Te_rho_z22,True,,left_only
836,Ne_rho_z18,Te_rho_z23,True,,left_only
837,Ne_rho_z18,Te_rho_z24,True,,left_only
838,Ne_rho_z18,Te_rho_z25,True,,left_only
839,Ne_rho_z18,Te_rho_z26,True,,left_only
840,Ne_rho_z18,Te_rho_z27,True,,left_only
841,Ne_rho_z18,Te_rho_z28,True,,left_only
842,Ne_rho_z18,Te_rho_z29,True,,left_only
843,Ne_rho_z18,Te_rho_z30,True,,left_only
844,Ne_rho_z18,Te_rho_z31,True,,left_only
845,Ne_rho_z18,Te_rho_z32,True,,left_only
846,Ne_rho_z18,Te_rho_z33,True,,left_only
847,Ne_rho_z18,Te_rho_z34,True,,left_only
848,Ne_rho_z18,Te_rho_z35,True,,left_only
849,Ne_rho_z18,Te_rho_z36,True,,left_only
850,Ne_rho_z18,Te_rho_z37,True,,left_only
851,Ne_rho_z18,Te_rho_z38,True,,left_only
852,Ne_rho_z18,Te_rho_z39,True,,left_only
853,Ne_rho_z18,Te_rho_z40,True,,left_only
854,Ne_rho_z18,Te_rho_z41,True,,left_only
855,Ne_rho_z18,Te_rho_z42,True,,left_only
856,Ne_rho_z18,Te_rho_z43,True,,left_only
857,Ne_rho_z18,Te_rho_z44,True,,left_only
858,Ne_rho_z18,Te_rho_z45,True,,left_only
859,Ne_rho_z18,Te_rho_z46,True,,left_only
860,Ne_rho_z18,Te_rho_z47,True,,left_only
861,Ne_rho_z18,Te_rho_z48,True,,left_only
862,Ne_rho_z18,Te_rho_z49,True,,left_only
863,Ne_rho_z18,Te_rho_z50,True,,left_only
864,Ne_rho_z18,Te_rho_z51,True,,left_only
865,Ne_rho_z18,Te_rho_z52,True,,left_only
866,Ne_rho_z18,Te_rho_z53,True,,left_only
867,Ne_rho_z18,Te_rho_z54,True,,left_only
868,Ne_rho_z18,Te_rho_z55,True,,left_only
869,Ne_rho_z18,Te_rho_z56,True,,left_only
872,Ne_rho_z19,Ne_rho_z12,True,,left_only
873,Ne_rho_z19,Ne_rho_z13,True,,left_only
874,Ne_rho_z19,Ne_rho_z14,True,,left_only
884,Ne_rho_z19,Ne_rho_z25,True,,left_only
885,Ne_rho_z19,Ne_rho_z26,True,,left_only
886,Ne_rho_z19,Ne_rho_z27,True,,left_only
887,Ne_rho_z19,Ne_rho_z28,True,,left_only
888,Ne_rho_z19,Ne_rho_z29,True,,left_only
889,Ne_rho_z19,Ne_rho_z30,True,,left_only
890,Ne_rho_z19,Ne_rho_z31,True,,left_only
891,Ne_rho_z19,Ne_rho_z32,True,,left_only
892,Ne_rho_z19,Ne_rho_z33,True,,left_only
893,Ne_rho_z19,Ne_rho_z34,True,,left_only
894,Ne_rho_z19,Ne_rho_z35,True,,left_only
895,Ne_rho_z19,Ne_rho_z36,True,,left_only
896,Ne_rho_z19,Ne_rho_z37,True,,left_only
897,Ne_rho_z19,Ne_rho_z38,True,,left_only
898,Ne_rho_z19,Ne_rho_z39,True,,left_only
899,Ne_rho_z19,Ne_rho_z40,True,,left_only
900,Ne_rho_z19,Ne_rho_z41,True,,left_only
901,Ne_rho_z19,Ne_rho_z42,True,,left_only
902,Ne_rho_z19,Ne_rho_z43,True,,left_only
903,Ne_rho_z19,Ne_rho_z44,True,,left_only
904,Ne_rho_z19,Ne_rho_z45,True,,left_only
905,Ne_rho_z19,Ne_rho_z46,True,,left_only
906,Ne_rho_z19,Ne_rho_z47,True,,left_only
907,Ne_rho_z19,Ne_rho_z48,True,,left_only
908,Ne_rho_z19,Ne_rho_z49,True,,left_only
909,Ne_rho_z19,Ne_rho_z50,True,,left_only
910,Ne_rho_z19,Ne_rho_z51,True,,left_only
911,Ne_rho_z19,Ne_rho_z52,True,,left_only
912,Ne_rho_z19,Ne_rho_z53,True,,left_only
913,Ne_rho_z19,Ne_rho_z54,True,,left_only
914,Ne_rho_z19,Ne_rho_z55,True,,left_only
915,Ne_rho_z19,Ne_rho_z56,True,,left_only
916,Ne_rho_z19,Ne_rho_z57,True,,left_only
917,Ne_rho_z19,Ne_rho_z58,True,,left_only
918,Ne_rho_z19,Ne_rho_z59,True,,left_only
919,Ne_rho_z19,Ne_rho_z60,True,,left_only
920,Ne_rho_z19,Ne_rho_z61,True,,left_only
921,Ne_rho_z19,Ne_rho_z62,True,,left_only
922,Ne_rho_z19,Ne_rho_z63,True,,left_only
923,Ne_rho_z19,Ne_rho_z64,True,,left_only
924,Ne_rho_z19,Ne_rho_z65,True,,left_only
925,Ne_rho_z19,Ne_rho_z66,True,,left_only
926,Ne_rho_z19,Ne_rho_z67,True,,left_only
927,Ne_rho_z19,Te_rho_z15,True,,left_only
928,Ne_rho_z19,Te_rho_z16,True,,left_only
929,Ne_rho_z19,Te_rho_z17,True,,left_only
930,Ne_rho_z19,Te_rho_z18,True,,left_only
931,Ne_rho_z19,Te_rho_z19,True,,left_only
932,Ne_rho_z19,Te_rho_z20,True,,left_only
933,Ne_rho_z19,Te_rho_z21,True,,left_only
934,Ne_rho_z19,Te_rho_z22,True,,left_only
935,Ne_rho_z19,Te_rho_z23,True,,left_only
936,Ne_rho_z19,Te_rho_z24,True,,left_only
937,Ne_rho_z19,Te_rho_z25,True,,left_only
938,Ne_rho_z19,Te_rho_z26,True,,left_only
939,Ne_rho_z19,Te_rho_z27,True,,left_only
940,Ne_rho_z19,Te_rho_z28,True,,left_only
941,Ne_rho_z19,Te_rho_z29,True,,left_only
942,Ne_rho_z19,Te_rho_z30,True,,left_only
943,Ne_rho_z19,Te_rho_z31,True,,left_only
944,Ne_rho_z19,Te_rho_z32,True,,left_only
945,Ne_rho_z19,Te_rho_z33,True,,left_only
946,Ne_rho_z19,Te_rho_z34,True,,left_only
947,Ne_rho_z19,Te_rho_z35,True,,left_only
948,Ne_rho_z19,Te_rho_z36,True,,left_only
949,Ne_rho_z19,Te_rho_z37,True,,left_only
950,Ne_rho_z19,Te_rho_z38,True,,left_only
951,Ne_rho_z19,Te_rho_z39,True,,left_only
952,Ne_rho_z19,Te_rho_z40,True,,left_only
953,Ne_rho_z19,Te_rho_z41,True,,left_only
954,Ne_rho_z19,Te_rho_z42,True,,left_only
955,Ne_rho_z19,Te_rho_z43,True,,left_only
956,Ne_rho_z19,Te_rho_z44,True,,left_only
957,Ne_rho_z19,Te_rho_z45,True,,left_only
958,Ne_rho_z19,Te_rho_z46,True,,left_only
959,Ne_rho_z19,Te_rho_z47,True,,left_only
960,Ne_rho_z19,Te_rho_z48,True,,left_only
961,Ne_rho_z19,Te_rho_z49,True,,left_only
962,Ne_rho_z19,Te_rho_z50,True,,left_only
963,Ne_rho_z19,Te_rho_z51,True,,left_only
964,Ne_rho_z19,Te_rho_z52,True,,left_only
965,Ne_rho_z19,Te_rho_z53,True,,left_only
966,Ne_rho_z19,Te_rho_z54,True,,left_only
967,Ne_rho_z19,Te_rho_z55,True,,left_only
968,Ne_rho_z19,Te_rho_z56,True,,left_only
969,Ne_rho_z19,Te_rho_z57,True,,left_only
970,Ne_rho_z19,Te_rho_z58,True,,left_only
971,Ne_rho_z19,Te_rho_z59,True,,left_only
972,Ne_rho_z19,Te_rho_z60,True,,left_only
973,Ne_rho_z19,Te_rho_z61,True,,left_only
974,Ne_rho_z19,Te_rho_z62,True,,left_only
986,Ne_rho_z20,Ne_rho_z13,True,,left_only
987,Ne_rho_z20,Ne_rho_z14,True,,left_only
988,Ne_rho_z20,Ne_rho_z15,True,,left_only
989,Ne_rho_z20,Ne_rho_z16,True,,left_only
998,Ne_rho_z20,Ne_rho_z26,True,,left_only
999,Ne_rho_z20,Ne_rho_z27,True,,left_only
1000,Ne_rho_z20,Ne_rho_z28,True,,left_only
1001,Ne_rho_z20,Ne_rho_z29,True,,left_only
1002,Ne_rho_z20,Ne_rho_z30,True,,left_only
1003,Ne_rho_z20,Ne_rho_z31,True,,left_only
1004,Ne_rho_z20,Ne_rho_z32,True,,left_only
1005,Ne_rho_z20,Ne_rho_z33,True,,left_only
1006,Ne_rho_z20,Ne_rho_z34,True,,left_only
1007,Ne_rho_z20,Ne_rho_z35,True,,left_only
1008,Ne_rho_z20,Ne_rho_z36,True,,left_only
1009,Ne_rho_z20,Ne_rho_z37,True,,left_only
1010,Ne_rho_z20,Ne_rho_z38,True,,left_only
1011,Ne_rho_z20,Ne_rho_z39,True,,left_only
1012,Ne_rho_z20,Ne_rho_z40,True,,left_only
1013,Ne_rho_z20,Ne_rho_z41,True,,left_only
1014,Ne_rho_z20,Ne_rho_z42,True,,left_only
1015,Ne_rho_z20,Ne_rho_z43,True,,left_only
1016,Ne_rho_z20,Ne_rho_z44,True,,left_only
1017,Ne_rho_z20,Ne_rho_z45,True,,left_only
1018,Ne_rho_z20,Ne_rho_z46,True,,left_only
1019,Ne_rho_z20,Ne_rho_z47,True,,left_only
1020,Ne_rho_z20,Ne_rho_z48,True,,left_only
1021,Ne_rho_z20,Ne_rho_z49,True,,left_only
1022,Ne_rho_z20,Ne_rho_z50,True,,left_only
1023,Ne_rho_z20,Ne_rho_z51,True,,left_only
1024,Ne_rho_z20,Ne_rho_z52,True,,left_only
1025,Ne_rho_z20,Ne_rho_z53,True,,left_only
1026,Ne_rho_z20,Ne_rho_z54,True,,left_only
1027,Ne_rho_z20,Ne_rho_z55,True,,left_only
1028,Ne_rho_z20,Ne_rho_z56,True,,left_only
1029,Ne_rho_z20,Ne_rho_z57,True,,left_only
1030,Ne_rho_z20,Ne_rho_z58,True,,left_only
1031,Ne_rho_z20,Ne_rho_z59,True,,left_only
1032,Ne_rho_z20,Ne_rho_z60,True,,left_only
1033,Ne_rho_z20,Ne_rho_z61,True,,left_only
1034,Ne_rho_z20,Ne_rho_z62,True,,left_only
1035,Ne_rho_z20,Ne_rho_z63,True,,left_only
1036,Ne_rho_z20,Ne_rho_z64,True,,left_only
1037,Ne_rho_z20,Ne_rho_z65,True,,left_only
1038,Ne_rho_z20,Ne_rho_z66,True,,left_only
1039,Ne_rho_z20,Ne_rho_z67,True,,left_only
1040,Ne_rho_z20,Te_rho_z15,True,,left_only
1041,Ne_rho_z20,Te_rho_z16,True,,left_only
1042,Ne_rho_z20,Te_rho_z17,True,,left_only
1043,Ne_rho_z20,Te_rho_z18,True,,left_only
1044,Ne_rho_z20,Te_rho_z19,True,,left_only
1045,Ne_rho_z20,Te_rho_z20,True,,left_only
1046,Ne_rho_z20,Te_rho_z21,True,,left_only
1047,Ne_rho_z20,Te_rho_z22,True,,left_only
1048,Ne_rho_z20,Te_rho_z23,True,,left_only
1049,Ne_rho_z20,Te_rho_z24,True,,left_only
1050,Ne_rho_z20,Te_rho_z25,True,,left_only
1051,Ne_rho_z20,Te_rho_z26,True,,left_only
1052,Ne_rho_z20,Te_rho_z27,True,,left_only
1053,Ne_rho_z20,Te_rho_z28,True,,left_only
1054,Ne_rho_z20,Te_rho_z29,True,,left_only
1055,Ne_rho_z20,Te_rho_z30,True,,left_only
1056,Ne_rho_z20,Te_rho_z31,True,,left_only
1057,Ne_rho_z20,Te_rho_z32,True,,left_only
1058,Ne_rho_z20,Te_rho_z33,True,,left_only
1059,Ne_rho_z20,Te_rho_z34,True,,left_only
1060,Ne_rho_z20,Te_rho_z35,True,,left_only
1061,Ne_rho_z20,Te_rho_z36,True,,left_only
1062,Ne_rho_z20,Te_rho_z37,True,,left_only
1063,Ne_rho_z20,Te_rho_z38,True,,left_only
1064,Ne_rho_z20,Te_rho_z39,True,,left_only
1065,Ne_rho_z20,Te_rho_z40,True,,left_only
1066,Ne_rho_z20,Te_rho_z41,True,,left_only
1067,Ne_rho_z20,Te_rho_z42,True,,left_only
1068,Ne_rho_z20,Te_rho_z43,True,,left_only
1069,Ne_rho_z20,Te_rho_z44,True,,left_only
1070,Ne_rho_z20,Te_rho_z45,True,,left_only
1071,Ne_rho_z20,Te_rho_z46,True,,left_only
1072,Ne_rho_z20,Te_rho_z47,True,,left_only
